2000 1000000000
0 1000000 0
500000 1000000 1
1000000 1000000 2
1500000 1000000 3
2000000 1000000 4
2500000 1000000 5
3000000 1000000 6
3500000 1000000 7
4000000 1000000 8
4500000 1000000 9
5000000 1000000 10
5500000 1000000 11
6000000 1000000 12
6500000 1000000 13
7000000 1000000 14
7500000 1000000 15
8000000 1000000 16
8500000 1000000 17
9000000 1000000 18
9500000 1000000 19
10000000 1000000 20
10500000 1000000 21
11000000 1000000 22
11500000 1000000 23
12000000 1000000 24
12500000 1000000 25
13000000 1000000 26
13500000 1000000 27
14000000 1000000 28
14500000 1000000 29
15000000 1000000 30
15500000 1000000 31
16000000 1000000 32
16500000 1000000 33
17000000 1000000 34
17500000 1000000 35
18000000 1000000 36
18500000 1000000 37
19000000 1000000 38
19500000 1000000 39
20000000 1000000 40
20500000 1000000 41
21000000 1000000 42
21500000 1000000 43
22000000 1000000 44
22500000 1000000 45
23000000 1000000 46
23500000 1000000 47
24000000 1000000 48
24500000 1000000 49
25000000 1000000 50
25500000 1000000 51
26000000 1000000 52
26500000 1000000 53
27000000 1000000 54
27500000 1000000 55
28000000 1000000 56
28500000 1000000 57
29000000 1000000 58
29500000 1000000 59
30000000 1000000 60
30500000 1000000 61
31000000 1000000 62
31500000 1000000 63
32000000 1000000 64
32500000 1000000 65
33000000 1000000 66
33500000 1000000 67
34000000 1000000 68
34500000 1000000 69
35000000 1000000 70
35500000 1000000 71
36000000 1000000 72
36500000 1000000 73
37000000 1000000 74
37500000 1000000 75
38000000 1000000 76
38500000 1000000 77
39000000 1000000 78
39500000 1000000 79
40000000 1000000 80
40500000 1000000 81
41000000 1000000 82
41500000 1000000 83
42000000 1000000 84
42500000 1000000 85
43000000 1000000 86
43500000 1000000 87
44000000 1000000 88
44500000 1000000 89
45000000 1000000 90
45500000 1000000 91
46000000 1000000 92
46500000 1000000 93
47000000 1000000 94
47500000 1000000 95
48000000 1000000 96
48500000 1000000 97
49000000 1000000 98
49500000 1000000 99
50000000 1000000 100
50500000 1000000 101
51000000 1000000 102
51500000 1000000 103
52000000 1000000 104
52500000 1000000 105
53000000 1000000 106
53500000 1000000 107
54000000 1000000 108
54500000 1000000 109
55000000 1000000 110
55500000 1000000 111
56000000 1000000 112
56500000 1000000 113
57000000 1000000 114
57500000 1000000 115
58000000 1000000 116
58500000 1000000 117
59000000 1000000 118
59500000 1000000 119
60000000 1000000 120
60500000 1000000 121
61000000 1000000 122
61500000 1000000 123
62000000 1000000 124
62500000 1000000 125
63000000 1000000 126
63500000 1000000 127
64000000 1000000 128
64500000 1000000 129
65000000 1000000 130
65500000 1000000 131
66000000 1000000 132
66500000 1000000 133
67000000 1000000 134
67500000 1000000 135
68000000 1000000 136
68500000 1000000 137
69000000 1000000 138
69500000 1000000 139
70000000 1000000 140
70500000 1000000 141
71000000 1000000 142
71500000 1000000 143
72000000 1000000 144
72500000 1000000 145
73000000 1000000 146
73500000 1000000 147
74000000 1000000 148
74500000 1000000 149
75000000 1000000 150
75500000 1000000 151
76000000 1000000 152
76500000 1000000 153
77000000 1000000 154
77500000 1000000 155
78000000 1000000 156
78500000 1000000 157
79000000 1000000 158
79500000 1000000 159
80000000 1000000 160
80500000 1000000 161
81000000 1000000 162
81500000 1000000 163
82000000 1000000 164
82500000 1000000 165
83000000 1000000 166
83500000 1000000 167
84000000 1000000 168
84500000 1000000 169
85000000 1000000 170
85500000 1000000 171
86000000 1000000 172
86500000 1000000 173
87000000 1000000 174
87500000 1000000 175
88000000 1000000 176
88500000 1000000 177
89000000 1000000 178
89500000 1000000 179
90000000 1000000 180
90500000 1000000 181
91000000 1000000 182
91500000 1000000 183
92000000 1000000 184
92500000 1000000 185
93000000 1000000 186
93500000 1000000 187
94000000 1000000 188
94500000 1000000 189
95000000 1000000 190
95500000 1000000 191
96000000 1000000 192
96500000 1000000 193
97000000 1000000 194
97500000 1000000 195
98000000 1000000 196
98500000 1000000 197
99000000 1000000 198
99500000 1000000 199
100000000 1000000 200
100500000 1000000 201
101000000 1000000 202
101500000 1000000 203
102000000 1000000 204
102500000 1000000 205
103000000 1000000 206
103500000 1000000 207
104000000 1000000 208
104500000 1000000 209
105000000 1000000 210
105500000 1000000 211
106000000 1000000 212
106500000 1000000 213
107000000 1000000 214
107500000 1000000 215
108000000 1000000 216
108500000 1000000 217
109000000 1000000 218
109500000 1000000 219
110000000 1000000 220
110500000 1000000 221
111000000 1000000 222
111500000 1000000 223
112000000 1000000 224
112500000 1000000 225
113000000 1000000 226
113500000 1000000 227
114000000 1000000 228
114500000 1000000 229
115000000 1000000 230
115500000 1000000 231
116000000 1000000 232
116500000 1000000 233
117000000 1000000 234
117500000 1000000 235
118000000 1000000 236
118500000 1000000 237
119000000 1000000 238
119500000 1000000 239
120000000 1000000 240
120500000 1000000 241
121000000 1000000 242
121500000 1000000 243
122000000 1000000 244
122500000 1000000 245
123000000 1000000 246
123500000 1000000 247
124000000 1000000 248
124500000 1000000 249
125000000 1000000 250
125500000 1000000 251
126000000 1000000 252
126500000 1000000 253
127000000 1000000 254
127500000 1000000 255
128000000 1000000 256
128500000 1000000 257
129000000 1000000 258
129500000 1000000 259
130000000 1000000 260
130500000 1000000 261
131000000 1000000 262
131500000 1000000 263
132000000 1000000 264
132500000 1000000 265
133000000 1000000 266
133500000 1000000 267
134000000 1000000 268
134500000 1000000 269
135000000 1000000 270
135500000 1000000 271
136000000 1000000 272
136500000 1000000 273
137000000 1000000 274
137500000 1000000 275
138000000 1000000 276
138500000 1000000 277
139000000 1000000 278
139500000 1000000 279
140000000 1000000 280
140500000 1000000 281
141000000 1000000 282
141500000 1000000 283
142000000 1000000 284
142500000 1000000 285
143000000 1000000 286
143500000 1000000 287
144000000 1000000 288
144500000 1000000 289
145000000 1000000 290
145500000 1000000 291
146000000 1000000 292
146500000 1000000 293
147000000 1000000 294
147500000 1000000 295
148000000 1000000 296
148500000 1000000 297
149000000 1000000 298
149500000 1000000 299
150000000 1000000 300
150500000 1000000 301
